INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,PRECINCT,JURISDICTION_CODE,LOCATION_DESC,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,PERP_RACE,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lon_Lat,OCCUR_YEAR
205748546,11/27/2019,15:54:00,BRONX,40,0,,false,<18,M,BLACK,25-44,F,BLACK,1006789,237559,40.818699730000048,-73.918570617999933,POINT (-73.91857061799993 40.81869973000005),2019
193118596,02/02/2019,19:40:00,MANHATTAN,23,0,,false,18-24,M,WHITE HISPANIC,18-24,M,BLACK HISPANIC,999347,227795,40.791916091000076,-73.94547965999999,POINT (-73.94547965999999 40.791916091000076),2019
204192600,10/24/2019,00:52:00,STATEN ISLAND,121,0,PVT HOUSE,true,25-44,M,BLACK,25-44,F,BLACK,938149,171781,40.638063982000062,-74.166108301999941,POINT (-74.16610830199996 40.63806398200006),2019
201483468,08/22/2019,18:03:00,BRONX,46,0,,false,25-44,M,BLACK HISPANIC,18-24,M,BLACK,1008224,250621,40.854547349000029,-73.913339443999973,POINT (-73.91333944399999 40.85454734900003),2019
198255460,06/07/2019,17:50:00,BROOKLYN,73,0,,false,45-64,M,WHITE HISPANIC,25-44,M,BLACK,1009650,186966,40.679827016000047,-73.908425238999939,POINT (-73.90842523899994 40.67982701600005),2019
194570529,03/11/2019,16:30:00,BROOKLYN,81,0,,false,18-24,M,BLACK,25-44,M,BLACK,1001181,189778,40.687565563000078,-73.938951975999942,POINT (-73.93895197599994 40.68756556300008),2019
193694863,02/17/2019,03:00:00,QUEENS,114,2,MULTI DWELL - PUBLIC HOUS,false,18-24,M,BLACK,25-44,M,BLACK,999484,214810,40.756275434000031,-73.945014328999946,POINT (-73.94501432899995 40.75627543400003),2019
199582060,07/10/2019,02:56:00,BROOKLYN,69,0,,false,25-44,M,BLACK,25-44,M,BLACK,1012579,175845,40.64929346200006,-73.897911867999937,POINT (-73.89791186799994 40.64929346200006),2019
204464564,11/04/2019,13:40:00,BRONX,40,0,,false,45-64,M,BLACK,25-44,M,WHITE HISPANIC,1008120,238322,40.820790453000029,-73.91375915499998,POINT (-73.91375915499998 40.82079045300003),2019
205908100,12/02/2019,11:50:00,BROOKLYN,67,0,,false,25-44,F,BLACK,25-44,M,BLACK,1004359,173694,40.643411912000033,-73.927540780999948,POINT (-73.92754078099995 40.64341191200003),2019
